label,text
7,According to Gran  the company has no plans to move all production to Russia  although that is where the company is growing 
7,Technopolis plans to develop in stages an area of no less than  square meters in order to host companies working in computer technologies and telecommunications  the statement said 
1,The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility  contrary to earlier layoffs the company contracted the ranks of its office workers  the daily Postimees reported 
10,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability 
10,According to the company s updated strategy for the years   Basware targets a longterm net sales growth in the range of     with an operating profit margin of     of net sales 
10,FINANCING OF ASPOCOMP S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs 
10,For the last quarter of   Componenta s net sales doubled to EURm from EURm for the same period a year earlier  while it moved to a zero pretax profit from a pretax loss of EURm 
10,In the third quarter of   net sales increased by   to EUR  mn  and operating profit by   to EUR  mn 
10,Operating profit rose to EUR  mn from EUR  mn in the corresponding period in  representing   of net sales 
10,Operating profit totalled EUR  mn  up from EUR  mn in   representing   of net sales 
10,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom s offering to its customers 
10,STORA ENSO  NORSKE SKOG  MREAL  UPMKYMMENE Credit Suisse First Boston  CFSB  raised the fair value for shares in four of the largest Nordic forestry groups 
10,A purchase agreement for  tons of gasoline with delivery at the Hamina terminal  Finland  was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month 
10,Finnish Talentum reports its operating profit increased to EUR  mn in  from EUR  mn in   and net sales totaled EUR  mn  up from EUR  mn 
10,Clothing retail chain SeppÆlÆ s sales increased by   to EUR  mn  and operating profit rose to EUR  mn from EUR  mn in  
10,Consolidated net sales increased   to reach EUR  m  while operating profit amounted to EUR  m compared to a loss of EUR  m in the prior year period 
10,Foundries division reports its sales increased by   to EUR  mn from EUR  mn in the corresponding period in   and sales of the Machine Shop division increased by   to EUR  mn from EUR  mn in the corresponding period in  
10,HELSINKI  AFX   Shares closed higher  led by Nokia after it announced plans to team up with Sanyo to manufacture G handsets  and by Nokian Tyres after its fourthquarter earnings report beat analysts  expectations  dealers said 
10,Incap Contract Manufacturing Services Pvt Ltd  a subsidiary of Incap Corporation of Finland  plans to double its revenues by  
10,Its board of directors will propose a dividend of EUR  per share for   up from the EUR  per share paid in  
10,Lifetree was founded in   and its revenues have risen on an average by   with margins in late s 
10, Filippova  A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum  Days of the Russian Economy  that opened in Helsinki today 
10,MegaFon s subscriber base increased   in  to  million users as of December   while its market share by the number of customers amounted to   as of late   up from   as of late   according to TeliaSonera estimates 
10,Net income from life insurance doubled to EUR  mn from EUR  mn  and net income from nonlife insurance rose to EUR  mn from EUR  mn in the corresponding period in  
10,Net sales increased to EUR  m from EUR  m and pretax profit rose by   to EUR  m  EUR  USD  
10,Net sales surged by   to EUR  m Teleste said that EUR  m  or    of the sales came from the acquisitions made in  
10,Nordea Group s operating profit increased in  by  percent yearonyear to  billion euros and total revenue by  percent to  billion euros 
10,Operating profit for the ninemonth period increased from EUR  m  while net sales increased from EUR  m  as compared to the corresponding period in  
10,Operating profit for the ninemonth period increased from EUR  m and net sales increased from EUR  m  as compared to the corresponding period in  
10,Operating profit for the threemonth period increased from EUR  m  while revenue increased from EUR  m  as compared to the corresponding period in  
10,The Brazilian unit of Finnish security solutions provider FSecure signed up  new clients last year  online news source Reseller Web quoted the division s commercial director  Vladimir Brando  as saying 
10,The company s net profit rose   on the year to  million euros in  on sales of  million euros    up on the year  the company said earlier 
10,The Lithuanian beer market made up  million liters in January  a rise of  percent from the yearearlier figure  the Lithuanian Brewers  Association reporting citing the results from its members 
10,Viking Line s cargo revenue increased by   to EUR  mn  and cargo volume increased by   to  cargo units 
10,The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR   million 
10, February   Finnish media company Sanoma Oyj HEL  SAAV said yesterday its  net profit almost tripled to EUR  m from EUR  m for  and announced a proposal for a raised payout 
10,A Helsinki  ELIiV today reported EPS of EUR  for   an increase over EPS of EUR  in  
10,Aspo Plc STOCK EXCHANGE RELEASE February    at  am ESL Shipping Ltd  part of Aspo Group  has signed a new  longterm contract with Rautaruukki Corporation for the marine transport of raw materials on the Baltic Sea 
10,Commission income increased by   to EUR  mn  and lending volume rose by   
10,In January  traffic  measured in revenue passenger kilometres RPK  went up by   and capacity  measured in available seat kilometres ASK  rose by   
10,In JanuarySeptember   Fiskars  net profit went up by   yearonyear to EUR  million and net sales to EUR  million from EUR  million 
10,Net income from life insurance rose to EUR  mn from EUR  mn  and net income from nonlife insurance to EUR  mn from EUR  mn in  
10,Nyrstar has also agreed to supply to Talvivaara up to  tonnes of sulphuric acid per annum for use in Talvivaara s leaching process during the period of supply of the zinc in concentrate 
10,Sales for both the Department Store Division and Hobby Hall increased by    while sales for the clothing store subsidiary Seppala decreased by   
10,Sales have risen in other export markets 
10,Sales increased due to growing market rates and increased operations 
10,The agreement strengthens our longterm partnership with Nokia Siemens Networks 
10,The agreement was signed with Biohit Healthcare Ltd  the UKbased subsidiary of Biohit Oyj  a Finnish public company which develops  manufactures and markets liquid handling products and diagnostic test systems 
10,The company also estimates the already carried out investments to lead to an increase in its net sales for  from  when they reached EUR  million 
10,The company s order book stood at  bln euro   bln on September     up by  pct on the year  with international orders amounting to  mln euro   mln 
10,The company said that paper demand increased in all of its main markets  including of publication papers  and that it increased average paper prices by  percent compared with last year 
10,The world s second largest stainless steel maker said net profit in the threemonth period until Dec  surged to euro million US  million  or euro  US  per share  from euro million  or euro  per share  the previous year 
10,Within the framework of the partnership  Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary  JSC Mikron  which is the largest manufacturer and exporter of microelectronic components in Russia 
10,Seppala s revenue increased by   to EUR  m In Finland  revenue went down by   to EUR  m  while sales abroad rose by   to EUR  m Sales increased in all the Baltic countries as well as in Russia and Ukraine 
10,Shares of Standard Chartered  STAN  rose   in the FTSE   while Royal Bank of Scotland  RBS  shares rose   and Barclays shares  BARC   BCS  were up   
10,Shares of Nokia Corp rose Thursday after the cell phone maker said its thirdquarter earnings almost doubled and its share of the global handset market increased 
10,In its financial report  published on Friday  SEB said its net profit soared to SEK  bn in  from a yearearlier SEK  bn and proposed a   dividend increase to SEK  per share 
10,Sales for the Department Store Division increased by   and sales for the clothing store subsidiary Seppala increased by   Meanwhile sales for Hobby Hall decreased by   
7,At the request of Finnish media company Alma Media s newspapers  research manager Jari Kaivooja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland s national economy by using a model developed by the University of Denver 
7,In Sweden  Gallerix accumulated SEK denominated sales were down   and EUR denominated sales were up   
7,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production 
7,When this investment is in place  Atria plans to expand into the Moscow market 
7, The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group  whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita  ja Pohjois Suomo  and signed asimilar agreement   said Tatu Hauhio  managing director ofCramo Finland 
10,At first the contract envisaged the construction of three ferryboats with an option for two more units  further confirmed at a total value of  mln euro    mln  
7,In June it sold a  percent stake to Nordstjernan  and the investment group has now taken up the option to acquire EQT s remaining shares 
